@relation AAPL
@attribute Volume numeric
@attribute Date date "yyyy-MM-dd'T'HH:mm:ss"

@data
30912,2016-05-26T21:00:00
39161,2016-05-26T21:00:30
47411,2016-05-26T21:01:00
68226,2016-05-26T21:01:30
89042,2016-05-26T21:02:00
54863,2016-05-26T21:02:30
20683,2016-05-26T21:03:00
31362,2016-05-26T21:03:30
42041,2016-05-26T21:04:00
30940,2016-05-26T21:04:30
19839,2016-05-26T21:05:00
28435,2016-05-26T21:05:30
37032,2016-05-26T21:06:00
50504,2016-05-26T21:06:30
63976,2016-05-26T21:07:00
55184,2016-05-26T21:07:30
46391,2016-05-26T21:08:00
45842,2016-05-26T21:08:30
45292,2016-05-26T21:09:00
52081,2016-05-26T21:09:30
58870,2016-05-26T21:10:00
65479,2016-05-26T21:10:30
72089,2016-05-26T21:11:00
49763,2016-05-26T21:11:30
27436,2016-05-26T21:12:00
45854,2016-05-26T21:12:30
64272,2016-05-26T21:13:00
65134,2016-05-26T21:13:30
65996,2016-05-26T21:14:00
112123,2016-05-26T21:14:30
188250,2016-05-26T21:15:00
205915,2016-05-26T21:15:30
201580,2016-05-26T21:16:00
245629,2016-05-26T21:16:30
266717,2016-05-26T21:17:00
265143,2016-05-26T21:17:30
268610,2016-05-26T21:18:00
222509,2016-05-26T21:18:30
176407,2016-05-26T21:19:00
138332,2016-05-26T21:19:30
100257,2016-05-26T21:20:00
109082,2016-05-26T21:20:30
117908,2016-05-26T21:21:00
92138,2016-05-26T21:21:30
66367,2016-05-26T21:22:00
64973,2016-05-26T21:22:30
63579,2016-05-26T21:23:00
116574,2016-05-26T21:23:30
169570,2016-05-26T21:24:00
155272,2016-05-26T21:24:30
140973,2016-05-26T21:25:00
123096,2016-05-26T21:25:30
105218,2016-05-26T21:26:00
99847,2016-05-26T21:26:30
94476,2016-05-26T21:27:00
90558,2016-05-26T21:27:30
86640,2016-05-26T21:28:00
78896,2016-05-26T21:28:30
71152,2016-05-26T21:29:00
92373,2016-05-26T21:29:30
113595,2016-05-26T21:30:00
102378,2016-05-26T21:30:30
91160,2016-05-26T21:31:00
68813,2016-05-26T21:31:30
46466,2016-05-26T21:32:00
58390,2016-05-26T21:32:30
70315,2016-05-26T21:33:00
76427,2016-05-26T21:33:30
82539,2016-05-26T21:34:00
77225,2016-05-26T21:34:30
71911,2016-05-26T21:35:00
59790,2016-05-26T21:35:30
47669,2016-05-26T21:36:00
76014,2016-05-26T21:36:30
104360,2016-05-26T21:37:00
74141,2016-05-26T21:37:30
43921,2016-05-26T21:38:00
48591,2016-05-26T21:38:30
53261,2016-05-26T21:39:00
62159,2016-05-26T21:39:30
71058,2016-05-26T21:40:00
78120,2016-05-26T21:40:30
85183,2016-05-26T21:41:00
84742,2016-05-26T21:41:30
84301,2016-05-26T21:42:00
83428,2016-05-26T21:42:30
82554,2016-05-26T21:43:00
92214,2016-05-26T21:43:30
101874,2016-05-26T21:44:00
72628,2016-05-26T21:44:30
43382,2016-05-26T21:45:00
61204,2016-05-26T21:45:30
79026,2016-05-26T21:46:00
63375,2016-05-26T21:46:30
47723,2016-05-26T21:47:00
66313,2016-05-26T21:47:30
84903,2016-05-26T21:48:00
87828,2016-05-26T21:48:30
90753,2016-05-26T21:49:00
123008,2016-05-26T21:49:30
155264,2016-05-26T21:50:00
156419,2016-05-26T21:51:00
157574,2016-05-26T21:52:00
125661,2016-05-26T21:53:00
93747,2016-05-26T21:54:00
96269,2016-05-26T21:54:30
98792,2016-05-26T21:55:00
131847,2016-05-26T21:55:30
164903,2016-05-26T21:56:00
170871,2016-05-26T21:57:00
176840,2016-05-26T21:58:00
261866,2016-05-26T21:59:00
346892,2016-05-26T22:00:00
406487,2016-05-26T22:00:30
456082,2016-05-26T22:01:00
476082,2016-05-26T22:01:30
486082,2016-05-26T22:02:00
